hire_id,customer_id,container_id,hire_start_date,hire_days,hire_end_date,container_type_id,branch_id,daily_rate,hire_revenue,transport_revenue,total_revenue,operating_cost_per_day,operating_cost,transport_cost_pct,transport_cost,total_cost,gross_margin,gross_margin_pct,acquisition_date,maintenance_cost,profitability_status
H00426,C010,CT0011,2025-01-07,61,2025-03-09,T003,B002,22,1342,250,1592,7.0,427.0,0.6975713857382899,174.39,601.39,990.61,62.22,2019-07-18,0,Profitable
H00176,C001,CT0011,2025-03-10,95,2025-06-13,T003,B002,22,2090,546,2636,7.0,665.0,0.7992695392704154,436.4,1101.4,1534.6,58.22,2019-07-18,0,Profitable
H00050,C005,CT0011,2025-06-14,75,2025-08-28,T003,B002,22,1650,228,1878,7.0,525.0,0.6189030846697364,141.11,666.11,1211.8899999999999,64.53,2019-07-18,0,Profitable
H00424,C007,CT0011,2025-08-29,37,2025-10-05,T003,B002,22,814,461,1275,7.0,259.0,0.685633592133063,316.08,575.0799999999999,699.9200000000001,54.9,2019-07-18,0,Profitable
H00466,C003,CT0012,2024-04-09,42,2024-05-21,T003,B005,22,924,311,1235,7.0,294.0,0.6022160176764351,187.29,843.29,391.71000000000004,31.72,2021-07-15,362,Profitable
H00403,C007,CT0012,2024-05-22,9,2024-05-31,T003,B005,22,198,162,360,7.0,63.0,0.7094692731659085,114.93,177.93,182.07,50.58,2021-07-15,0,Profitable
H00345,C001,CT0012,2025-01-26,83,2025-04-19,T003,B005,22,1826,434,2260,7.0,581.0,0.7583292678682532,329.11,910.11,1349.8899999999999,59.73,2021-07-15,0,Profitable
H00152,C010,CT0012,2025-04-20,76,2025-07-05,T003,B005,22,1672,544,2216,7.0,532.0,0.6894550479823004,375.06,907.06,1308.94,59.07,2021-07-15,0,Profitable
H00493,C004,CT0012,2025-07-06,66,2025-09-10,T003,B005,22,1452,332,1784,7.0,462.0,0.6390464117793986,212.16,674.16,1109.8400000000001,62.21,2021-07-15,0,Profitable
H00477,C006,CT0012,2025-09-11,71,2025-11-21,T003,B005,22,1562,360,1922,7.0,497.0,0.668501607120789,240.66,737.66,1184.3400000000001,61.62,2021-07-15,0,Profitable
H00014,C005,CT0013,2024-08-10,82,2024-10-31,T003,B002,22,1804,548,2352,7.0,574.0,0.6007340918937256,329.2,1035.2,1316.8,55.99,2022-06-25,132,Profitable
H00247,C001,CT0013,2024-11-01,117,2025-02-26,T003,B002,22,2574,501,3075,7.0,819.0,0.5822121780000638,291.69,1110.69,1964.31,63.88,2022-06-25,0,Profitable
H00154,C010,CT0013,2025-02-27,88,2025-05-26,T003,B002,22,1936,554,2490,7.0,616.0,0.7033682846597942,389.67,1005.6700000000001,1484.33,59.61,2022-06-25,0,Profitable
H00117,C005,CT0013,2025-05-27,7,2025-06-03,T003,B002,22,154,340,494,7.0,49.0,0.6862119397711289,233.31,282.31,211.69,42.85,2022-06-25,0,Profitable
H00070,C001,CT0014,2024-05-21,117,2024-09-15,T003,B001,22,2574,403,2977,7.0,819.0,0.7705339035705151,310.53,1129.53,1847.47,62.06,2019-11-30,0,Profitable
H00319,C005,CT0014,2024-09-16,42,2024-10-28,T003,B001,22,924,268,1192,7.0,294.0,0.6085461117038715,163.09,457.09000000000003,734.91,61.65,2019-11-30,0,Profitable
H00051,C004,CT0014,2025-08-30,39,2025-10-08,T003,B001,22,858,217,1075,7.0,273.0,0.746781650650401,162.05,435.05,639.95,59.53,2019-11-30,0,Profitable
H00366,C003,CT0014,2025-10-27,96,2026-01-31,T003,B001,22,2112,168,2280,7.0,672.0,0.647468088235386,108.77,780.77,1499.23,65.76,2019-11-30,0,Profitable
H00124,C001,CT0015,2024-04-29,75,2024-07-13,T004,B004,30,2250,378,2628,9.0,675.0,0.6138733361639013,232.04,907.04,1720.96,65.49,2023-12-01,0,Profitable
H00191,C007,CT0015,2024-07-14,72,2024-09-24,T004,B004,30,2160,391,2551,9.0,648.0,0.739895602528658,289.3,937.3,1613.7,63.26,2023-12-01,0,Profitable
H00077,C008,CT0015,2025-03-07,29,2025-04-05,T004,B004,30,870,415,1285,9.0,261.0,0.5862412680949542,243.29,504.28999999999996,780.71,60.76,2023-12-01,0,Profitable
H00024,C001,CT0015,2025-09-11,82,2025-12-02,T004,B004,30,2460,415,2875,9.0,738.0,0.5640340258540526,234.07,972.0699999999999,1902.93,66.19,2023-12-01,0,Profitable
H00096,C005,CT0015,2025-12-03,71,2026-02-12,T004,B004,30,2130,549,2679,9.0,639.0,0.6872096641800147,377.28,1016.28,1662.72,62.06,2023-12-01,0,Profitable
H00494,C001,CT0015,2026-02-13,107,2026-05-31,T004,B004,30,3210,262,3472,9.0,963.0,0.7567037434491048,198.26,1215.26,2256.74,65.0,2023-12-01,54,Profitable
H00314,C006,CT0016,2025-06-19,45,2025-08-03,T001,B004,8,360,525,885,2.5,112.5,0.6613115280711971,347.19,565.69,319.30999999999995,36.08,2018-01-02,106,Profitable
H00261,C007,CT0016,2025-08-04,95,2025-11-07,T001,B004,8,760,478,1238,2.5,237.5,0.7954496733151569,380.22,1000.72,237.27999999999997,19.17,2018-01-02,383,Profitable
H00472,C006,CT0017,2024-01-02,111,2024-04-22,T004,B004,30,3330,209,3539,9.0,999.0,0.6719627992981017,140.44,1139.44,2399.56,67.8,2019-10-04,0,Profitable
H00214,C004,CT0017,2024-04-23,49,2024-06-11,T004,B004,30,1470,598,2068,9.0,441.0,0.6134937186430063,366.87,807.87,1260.13,60.93,2019-10-04,0,Profitable
H00389,C009,CT0017,2024-06-12,8,2024-06-20,T004,B004,30,240,373,613,9.0,72.0,0.7750803170185679,289.1,469.1,143.89999999999998,23.47,2019-10-04,108,Profitable
H00452,C005,CT0017,2024-11-30,27,2024-12-27,T004,B004,30,810,220,1030,9.0,243.0,0.5753149786537898,126.57,451.57,578.4300000000001,56.16,2019-10-04,82,Profitable
H00080,C003,CT0017,2024-12-28,86,2025-03-24,T004,B004,30,2580,531,3111,9.0,774.0,0.6345657763330872,336.95,1110.95,2000.05,64.29,2019-10-04,0,Profitable
H00408,C003,CT0017,2025-06-07,50,2025-07-27,T004,B004,30,1500,239,1739,9.0,450.0,0.755003157279839,180.45,630.45,1108.55,63.75,2019-10-04,0,Profitable
H00021,C009,CT0017,2025-07-28,43,2025-09-09,T004,B004,30,1290,355,1645,9.0,387.0,0.7244176568800188,257.17,644.1700000000001,1000.8299999999999,60.84,2019-10-04,0,Profitable
H00382,C010,CT0018,2024-08-10,76,2024-10-25,T004,B005,30,2280,278,2558,9.0,684.0,0.6141735570775115,170.74,854.74,1703.26,66.59,2024-03-17,0,Profitable
H00264,C006,CT0018,2024-10-26,13,2024-11-08,T004,B005,30,390,600,990,9.0,117.0,0.7070595276158204,424.24,541.24,448.76,45.33,2024-03-17,0,Profitable
H00066,C004,CT0018,2025-07-30,63,2025-10-01,T004,B005,30,1890,539,2429,9.0,567.0,0.6091960773278464,328.36,991.36,1437.6399999999999,59.19,2024-03-17,96,Profitable
H00331,C002,CT0019,2024-03-04,27,2024-03-31,T004,B001,30,810,509,1319,9.0,243.0,0.7010179192678049,356.82,599.8199999999999,719.1800000000001,54.52,2022-05-09,0,Profitable
H00330,C003,CT0019,2025-01-29,39,2025-03-09,T004,B001,30,1170,451,1621,9.0,351.0,0.5599414912471424,252.53,603.53,1017.47,62.77,2022-05-09,0,Profitable
H00263,C001,CT0019,2025-03-10,81,2025-05-30,T004,B001,30,2430,583,3013,9.0,729.0,0.6897962017073317,402.15,1131.15,1881.85,62.46,2022-05-09,0,Profitable
H00467,C003,CT0019,2025-05-31,103,2025-09-11,T004,B001,30,3090,307,3397,9.0,927.0,0.781409332506334,239.89,1166.8899999999999,2230.11,65.65,2022-05-09,0,Profitable
H00238,C008,CT0020,2024-07-10,25,2024-08-04,T003,B005,22,550,548,1098,7.0,175.0,0.7747118470450619,424.54,830.54,267.46000000000004,24.36,2020-05-04,231,Profitable
H00346,C010,CT0020,2024-08-05,63,2024-10-07,T003,B005,22,1386,418,1804,7.0,441.0,0.760981153152931,318.09,759.0899999999999,1044.91,57.92,2020-05-04,0,Profitable
H00440,C008,CT0020,2025-01-16,22,2025-02-07,T003,B005,22,484,508,992,7.0,154.0,0.5914070867570664,300.43,454.43,537.5699999999999,54.19,2020-05-04,0,Profitable
H00142,C009,CT0020,2025-06-20,37,2025-07-27,T003,B005,22,814,162,976,7.0,259.0,0.5735090261085667,92.91,351.90999999999997,624.09,63.94,2020-05-04,0,Profitable
H00340,C001,CT0020,2025-07-28,38,2025-09-04,T003,B005,22,836,299,1135,7.0,266.0,0.6685721051078152,199.9,465.9,669.1,58.95,2020-05-04,0,Profitable
H00484,C008,CT0021,2024-05-09,74,2024-07-22,T002,B005,12,888,266,1154,3.5,259.0,0.5577344111828355,148.36,407.36,746.64,64.7,2022-10-26,0,Profitable
H00180,C007,CT0021,2024-12-28,119,2025-04-26,T002,B005,12,1428,166,1594,3.5,416.5,0.7217152494187573,119.8,895.3,698.7,43.83,2022-10-26,359,Profitable
H00192,C003,CT0021,2025-07-10,52,2025-08-31,T002,B005,12,624,463,1087,3.5,182.0,0.7970163916631936,369.02,848.02,238.98000000000002,21.99,2022-10-26,297,Profitable
H00423,C001,CT0021,2025-10-23,99,2026-01-30,T002,B005,12,1188,219,1407,3.5,346.5,0.5694036611828602,124.7,471.2,935.8,66.51,2022-10-26,0,Profitable
H00372,C005,CT0022,2024-08-29,116,2024-12-23,T001,B001,8,928,516,1444,2.5,290.0,0.6241819102760225,322.08,612.0799999999999,831.9200000000001,57.61,2024-08-29,0,Profitable
H00435,C002,CT0022,2024-12-24,22,2025-01-15,T001,B001,8,176,376,552,2.5,55.0,0.6425130836685639,241.58,683.58,-131.58000000000004,-23.84,2024-08-29,387,Loss
H00045,C005,CT0022,2025-06-29,7,2025-07-06,T001,B001,8,56,290,346,2.5,17.5,0.5533506566080415,160.47,177.97,168.03,48.56,2024-08-29,0,Profitable
H00229,C010,CT0022,2025-07-25,31,2025-08-25,T001,B001,8,248,297,545,2.5,77.5,0.6400944549825869,190.11,267.61,277.39,50.9,2024-08-29,0,Profitable
H00075,C001,CT0023,2024-10-19,44,2024-12-02,T002,B001,12,528,154,682,3.5,154.0,0.6736202828237733,103.74,257.74,424.26,62.21,2022-07-20,0,Profitable
H00148,C009,CT0023,2024-12-03,116,2025-03-29,T002,B001,12,1392,322,1714,3.5,406.0,0.5989602031467298,192.87,865.87,848.13,49.48,2022-07-20,267,Profitable
H00328,C002,CT0023,2025-03-30,114,2025-07-22,T002,B001,12,1368,275,1643,3.5,399.0,0.7728700039058767,212.54,611.54,1031.46,62.78,2022-07-20,0,Profitable
H00177,C006,CT0023,2025-07-24,39,2025-09-01,T002,B001,12,468,262,730,3.5,136.5,0.7949456144636305,208.28,344.78,385.22,52.77,2022-07-20,0,Profitable
H00010,C010,CT0023,2025-11-18,11,2025-11-29,T002,B001,12,132,156,288,3.5,38.5,0.7977816079553259,124.45,162.95,125.05000000000001,43.42,2022-07-20,0,Profitable
H00357,C007,CT0024,2024-03-26,47,2024-05-12,T004,B001,30,1410,427,1837,9.0,423.0,0.6828998661511078,291.6,714.6,1122.4,61.1,2021-02-27,0,Profitable
H00025,C007,CT0024,2024-07-06,43,2024-08-18,T004,B001,30,1290,174,1464,9.0,387.0,0.7631820049689279,132.79,519.79,944.21,64.5,2021-02-27,0,Profitable
H00434,C009,CT0024,2024-11-27,23,2024-12-20,T004,B001,30,690,173,863,9.0,207.0,0.553077425754019,95.68,302.68,560.3199999999999,64.93,2021-02-27,0,Profitable
H00219,C002,CT0024,2024-12-30,120,2025-04-29,T004,B001,30,3600,349,3949,9.0,1080.0,0.5509542835310868,192.28,1379.28,2569.7200000000003,65.07,2021-02-27,107,Profitable
H00370,C003,CT0025,2024-03-30,45,2024-05-14,T004,B001,30,1350,444,1794,9.0,405.0,0.6145433135477923,272.86,677.86,1116.1399999999999,62.22,2020-12-12,0,Profitable
H00391,C008,CT0025,2024-05-15,11,2024-05-26,T004,B001,30,330,511,841,9.0,99.0,0.6302702742717625,322.07,788.0699999999999,52.930000000000064,6.29,2020-12-12,367,Profitable
H00204,C008,CT0025,2024-09-14,31,2024-10-15,T004,B001,30,930,582,1512,9.0,279.0,0.6550296819619312,381.23,660.23,851.77,56.33,2020-12-12,0,Profitable
H00490,C006,CT0025,2024-10-16,49,2024-12-04,T004,B001,30,1470,322,1792,9.0,441.0,0.5920842389797826,190.65,631.65,1160.35,64.75,2020-12-12,0,Profitable
H00079,C002,CT0025,2025-02-02,58,2025-04-01,T004,B001,30,1740,279,2019,9.0,522.0,0.5977976753661973,166.79,688.79,1330.21,65.88,2020-12-12,0,Profitable
H00458,C006,CT0025,2025-09-28,109,2026-01-15,T004,B001,30,3270,378,3648,9.0,981.0,0.5763147962992532,217.85,1198.85,2449.15,67.14,2020-12-12,0,Profitable
H00220,C009,CT0025,2026-01-16,114,2026-05-10,T004,B001,30,3420,236,3656,9.0,1026.0,0.7204173706004051,170.02,1449.02,2206.98,60.37,2020-12-12,253,Profitable
H00374,C002,CT0026,2024-04-15,110,2024-08-03,T002,B004,12,1320,277,1597,3.5,385.0,0.7885082818962602,218.42,603.42,993.58,62.22,2022-09-04,0,Profitable
H00138,C010,CT0026,2024-08-04,54,2024-09-27,T002,B004,12,648,525,1173,3.5,189.0,0.573351992993824,301.01,490.01,682.99,58.23,2022-09-04,0,Profitable
H00060,C005,CT0026,2024-09-28,94,2024-12-31,T002,B004,12,1128,180,1308,3.5,329.0,0.704924860049854,126.89,455.89,852.11,65.15,2022-09-04,0,Profitable
H00497,C001,CT0026,2025-01-01,117,2025-04-28,T002,B004,12,1404,468,1872,3.5,409.5,0.6768615915299356,316.77,1120.27,751.73,40.16,2022-09-04,394,Profitable
H00496,C001,CT0026,2025-04-29,18,2025-05-17,T002,B004,12,216,295,511,3.5,63.0,0.5942927313179664,175.32,238.32,272.68,53.36,2022-09-04,0,Profitable
H00421,C007,CT0026,2025-05-18,75,2025-08-01,T002,B004,12,900,392,1292,3.5,262.5,0.7629603092184869,299.08,561.5799999999999,730.4200000000001,56.53,2022-09-04,0,Profitable
H00230,C008,CT0026,2025-08-02,42,2025-09-13,T002,B004,12,504,426,930,3.5,147.0,0.567126351656745,241.6,388.6,541.4,58.22,2022-09-04,0,Profitable
H00447,C004,CT0026,2025-09-14,90,2025-12-13,T002,B004,12,1080,206,1286,3.5,315.0,0.6447275695147037,132.81,447.81,838.19,65.18,2022-09-04,0,Profitable
H00409,C007,CT0026,2025-12-14,8,2025-12-22,T002,B004,12,96,463,559,3.5,28.0,0.7237205934189899,335.08,363.08,195.92000000000002,35.05,2022-09-04,0,Profitable
H00200,C003,CT0026,2025-12-23,76,2026-03-09,T002,B004,12,912,413,1325,3.5,266.0,0.6110849851966166,252.38,518.38,806.62,60.88,2022-09-04,0,Profitable
H00100,C009,CT0027,2025-08-09,80,2025-10-28,T002,B003,12,960,409,1369,3.5,280.0,0.657157636742619,268.78,548.78,820.22,59.91,2025-08-09,0,Profitable
H00106,C009,CT0027,2025-10-29,14,2025-11-12,T002,B003,12,168,529,697,3.5,49.0,0.6650405661221099,351.81,400.81,296.19,42.49,2025-08-09,0,Profitable
H00134,C009,CT0027,2025-11-13,79,2026-01-31,T002,B003,12,948,228,1176,3.5,276.5,0.7495860470560821,170.91,447.40999999999997,728.59,61.95,2025-08-09,0,Profitable
H00140,C005,CT0027,2026-02-01,79,2026-04-21,T002,B003,12,948,538,1486,3.5,276.5,0.5989023182611288,322.21,598.71,887.29,59.71,2025-08-09,0,Profitable
H00396,C008,CT0027,2026-04-22,14,2026-05-06,T002,B003,12,168,451,619,3.5,49.0,0.7720097660900295,348.18,397.18,221.82,35.84,2025-08-09,0,Profitable
H00231,C006,CT0028,2024-08-09,81,2024-10-29,T002,B003,12,972,381,1353,3.5,283.5,0.7407888228147224,282.24,565.74,787.26,58.19,2022-08-23,0,Profitable
H00256,C002,CT0029,2024-02-02,8,2024-02-10,T004,B001,30,240,372,612,9.0,72.0,0.7269220815826547,270.42,621.4200000000001,-9.420000000000073,-1.54,2022-09-30,279,Loss
H00125,C001,CT0029,2024-03-29,111,2024-07-18,T004,B001,30,3330,235,3565,9.0,999.0,0.7866594885499019,184.86,1183.8600000000001,2381.14,66.79,2022-09-30,0,Profitable
H00171,C005,CT0029,2024-08-03,21,2024-08-24,T004,B001,30,630,562,1192,9.0,189.0,0.7971039973530192,447.97,636.97,555.03,46.56,2022-09-30,0,Profitable
H00227,C007,CT0029,2024-08-25,53,2024-10-17,T004,B001,30,1590,166,1756,9.0,477.0,0.7665966285628356,127.26,604.26,1151.74,65.59,2022-09-30,0,Profitable
H00333,C009,CT0029,2024-10-18,28,2024-11-15,T004,B001,30,840,284,1124,9.0,252.0,0.6097141651004819,173.16,582.16,541.84,48.21,2022-09-30,157,Profitable
H00376,C006,CT0029,2024-11-16,103,2025-02-27,T004,B001,30,3090,260,3350,9.0,927.0,0.7657201257281031,199.09,1126.09,2223.91,66.39,2022-09-30,0,Profitable
H00102,C009,CT0029,2025-02-28,120,2025-06-28,T004,B001,30,3600,189,3789,9.0,1080.0,0.7160469786263544,135.33,1215.33,2573.67,67.92,2022-09-30,0,Profitable
